ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330170.03,-1.069916,0.535007,-0.011472,0.391396,2.468722,-0.926014,0.214886,-0.275965,-0.920279,-0.094587,2.01109,-0.793249,-0.507757,0.4781,-0.1946,0.90423,-1.29753
9330170.04,0.287089,-0.088217,-0.005333,-0.221605,-0.345327,0.41418,-1.134703,-0.593455,-0.965815,0.99792,0.04559,0.58155,0.386458,-0.20045,-0.99668,0.33094,0.52353
9330170.05,-1.022583,-0.560801,0.281188,-0.466805,1.959091,-1.122706,-0.5411,1.631501,-0.979427,0.899931,2.350523,-0.119673,-0.487351,0.81462,-1.28889,1.42459,-1.00837
9330170.07,-0.075271,-0.947645,-0.193429,-0.491325,0.09783,-0.18664,-0.950303,0.555779,-0.910656,1.15402,0.549695,-0.734439,0.01374,-0.15429,-1.07314,0.36984,-0.38464
9330170.08,0.190129,0.262984,0.090238,-1.251446,-0.500432,0.158477,-1.401316,-0.510447,-0.967729,1.40456,0.44986,0.963278,0.17377,-0.03738,-1.53949,0.51091,0.44522
9330180.01,1.576333,-1.627027,-1.337973,-0.785566,-1.032221,0.319498,-0.306949,-1.15342,-0.60076,0.37716,-0.960124,-1.868869,-0.984377,-1.645,0.03437,-1.17316,-0.88198
9330180.02,0.57552,-0.990317,-0.707834,-0.761046,-0.8328,0.29059,0.001974,-0.971145,-0.642624,0.711541,-0.588731,-0.989591,-0.60053,-1.08953,-0.17253,-0.57334,-0.56614
9330181.03,1.423082,-0.581754,-0.466842,-0.687486,-0.921432,1.499778,-0.823093,-0.76461,-0.76773,0.881359,0.345614,0.416633,0.052883,-0.96076,-0.62219,-0.01927,0.87925
9330181.05,-0.558118,-0.536431,-0.702547,-0.748786,0.939829,-0.784434,-0.997578,0.483028,-0.912503,0.97529,0.895777,-0.799631,-0.552279,0.25274,-1.24372,0.29875,-1.05932
9330181.06,-0.077999,-0.949941,-1.09998,-1.202406,0.651777,-0.515835,-1.391222,-1.150485,-1.0647,1.337718,0.061925,-1.096448,-0.659221,-0.36934,-1.38935,-0.32445,-1.10835
9330181.07,1.290289,-1.560952,-1.187067,-1.141106,-0.921432,0.468049,-1.001526,-1.505664,-0.96231,1.033677,-0.456732,-0.861573,-0.444632,-1.43607,-0.76529,-0.62784,-0.3269
9330181.08,0.846003,-2.013472,-0.959911,-1.594727,-0.544748,0.781243,-1.376341,-1.284655,-0.986302,1.388242,-0.447581,-0.941517,-0.068658,-1.2336,-1.1684,-0.5407,-0.10817
9330181.09,1.894087,-0.232152,-1.289326,-1.006246,-1.076537,0.714675,-0.386308,-1.769273,-0.589218,0.611806,-0.199276,-1.480245,-0.875314,-1.52321,-0.09292,-1.02939,-0.4652
9330181.1,0.133992,-0.11882,-1.157506,-0.430025,0.275093,-0.159939,-0.653503,-0.868115,-0.497066,0.680657,0.177685,-1.465951,-0.871303,-0.40604,-0.48009,-0.56053,-1.06491
9330181.11,-0.828105,2.779762,0.678884,0.109416,1.405144,-0.712264,0.571099,1.885459,-0.681793,-0.337467,1.294427,0.426326,-0.918501,1.53064,-0.18466,0.77894,-0.62168
9330181.12,1.600108,-1.006616,-1.303692,-1.067546,-0.921432,1.120409,-0.494758,-2.269654,-0.61217,0.877803,-0.972805,0.078569,-0.667449,-1.36671,-0.40362,-1.03339,0.19365
9330181.13,0.238733,1.641804,-0.848484,0.060375,0.563145,0.017134,-0.337822,-1.36868,-0.764003,0.733589,-0.030012,-1.33775,-0.939823,0.00005,-0.30343,-0.69987,-0.89764
9330181.14,-0.25611,-0.903068,-0.70711,-0.613926,0.186462,-0.603148,-1.003869,1.255041,-0.69457,0.617799,0.25922,-1.402231,-0.984377,-0.01291,-0.87979,-0.07534,-1.25011
9330182.01,1.822638,-1.260862,-0.897112,-0.981726,-0.899274,0.992576,-0.87879,-1.593431,-0.005499,1.049456,-1.07193,-0.720816,-0.286306,-1.14921,-0.45326,-1.19614,0.30132
9330182.02,1.200148,-1.646615,-1.217454,-1.570207,-1.143011,-0.110925,-0.513791,-1.065865,-0.634304,0.655971,-1.182895,-1.868869,-0.984377,-1.49219,-0.37706,-1.18308,-1.09982
9330182.03,0.764883,-0.704662,-0.780523,-0.920426,-0.367485,-0.068615,0.107803,-1.270493,-0.117714,0.216518,-1.041313,-1.344895,-0.763807,-0.89064,0.11904,-1.08861,-0.81143
9330182.04,0.574435,-1.371983,-1.259698,-0.000925,-0.921432,0.00953,-1.221759,-1.498507,-0.518949,1.076523,-0.775846,-1.868869,-0.984377,-1.25287,-0.46936,-0.87491,-1.10884
9330182.05,0.20228,0.049262,-0.51498,-0.589406,0.09783,-0.1656,-0.812442,-1.305935,-0.262647,0.765877,-0.766261,-1.868869,-0.788951,-0.40569,-0.39945,-0.94225,-1.02741
9330182.06,-0.0364,0.314506,0.211387,0.158456,0.297251,0.20682,-1.560615,-0.14744,-0.589491,1.581401,-0.775846,2.94245,1.80385,1.23289,-1.83544,0.46498,2.02713
9330183.01,0.194716,-0.919803,-0.75277,-0.981726,-0.63338,-0.475609,-1.134976,-0.09785,-0.840879,1.201331,-0.594814,-0.700406,-0.431021,-0.39657,-1.1607,-0.33507,-0.6589
9330183.03,-0.457097,0.056451,-0.158011,-0.773306,0.186462,-0.807019,-1.117043,1.124731,-0.895868,0.983052,1.206534,0.835907,-0.339175,0.54547,-1.49516,0.93816,-0.33107
9330183.04,0.099926,-1.269246,-0.606835,-0.859126,-1.098695,-0.64266,-0.633354,-0.37901,-0.816222,0.82872,-0.767988,-1.615833,-0.830371,-1.00255,-0.55798,-0.44351,-1.2879
9330183.05,0.439844,-0.925408,-1.281026,-1.104326,-0.8328,-0.490159,-0.935646,-0.905167,-0.867291,1.122685,-0.519303,-1.628247,-0.883085,-0.96344,-0.85496,-0.70613,-1.23659
9330183.06,-0.547424,0.497988,-1.093109,-1.092066,0.540988,-0.98889,-0.187042,1.073425,-0.804346,0.323798,0.677899,-0.53433,-0.858899,0.47815,-0.83919,0.0205,-1.18617
9330183.07,0.373106,-0.177452,-1.167981,-1.141106,-0.345327,-0.374996,-1.360973,-0.991872,-0.74436,1.306641,-0.677894,-0.684616,-0.790944,-0.29858,-1.25237,-0.73233,-0.76346
9330184.02,-0.87891,0.759574,-0.192491,0.783716,1.493776,-1.338092,-0.07453,1.711226,-0.29385,0.376585,0.258086,-0.647479,-0.738441,1.33965,-0.49044,0.11016,-1.11851
9330184.06,0.16967,0.387066,0.144335,-0.932686,0.474514,-0.261946,0.796054,-0.868115,1.10315,-0.675021,-1.077567,-1.476767,-0.833074,-0.07083,0.86135,-1.25883,-0.85425
9330184.07,-0.701822,1.176676,0.156923,-0.282905,1.87046,-0.782951,0.089403,0.739524,0.563274,0.222373,0.366937,-0.588362,-0.731703,1.35194,-0.28392,-0.2629,-0.79285
9330184.08,-0.262061,0.127475,-0.683354,-0.221605,1.028461,-0.706483,0.081995,-0.187837,0.784893,-0.749446,-0.842942,-0.309532,-0.809954,0.54942,0.28026,-0.91233,-0.77659
9330184.09,-0.011695,0.551912,-0.413131,-0.626186,0.474514,-0.493705,0.314319,-0.376812,0.618329,-0.353635,-1.105362,-0.31388,-0.79664,0.39624,0.22057,-1.01236,-0.60899
9330184.1,-0.0249,0.121924,0.28811,-0.013185,0.71825,-0.187874,-0.246767,-0.281616,0.570604,0.271387,-0.660644,-1.166185,-0.984377,0.27345,0.07944,-0.71921,-0.77131
9330184.11,0.29335,-0.060776,-0.030498,-0.491325,-0.057275,0.007743,-0.312925,-0.267592,0.496971,0.170461,-1.290249,-1.505992,-0.984377,-0.09988,0.12368,-1.13758,-0.7567
9330184.12,0.127793,0.185125,-0.752704,-0.613926,-0.278854,-0.501012,0.731129,-0.786827,0.526768,-0.846742,-0.546308,-0.386048,-0.859536,-0.38368,0.68313,-0.7639,-0.80367
9330184.13,0.797244,-1.696456,-0.555941,-0.859126,-0.544748,-0.001686,-0.57296,-0.632919,-0.082957,0.893111,-0.932404,-0.69519,-0.792239,-0.78709,-0.48522,-0.7344,-0.51777
9330184.14,0.365016,0.695962,-1.072572,-1.092066,-1.010063,-0.646733,-0.356685,-0.474254,-0.720948,0.381274,-0.919051,-1.53233,-0.92771,-0.50599,-0.37904,-0.94216,-1.19665
9330184.15,0.184828,1.535631,-0.767297,-0.197085,0.563145,-0.28848,-0.452795,-0.875609,0.403194,0.468649,-1.231498,-1.356385,-0.984377,0.56051,-0.17042,-1.46622,-0.82166
9330184.16,-0.098209,1.001426,-0.392242,-0.430025,0.452356,-0.502512,0.434576,0.041869,0.37667,-0.332983,-1.060474,-1.102664,-0.782127,0.45252,0.31593,-1.06924,-0.84406
9330185.05,-0.639021,3.306779,0.889592,0.979877,1.626723,-0.702735,1.12218,1.053494,0.80795,-0.830951,-0.827155,-0.373096,-0.706588,1.93332,0.82764,-0.66537,-0.46215
9330185.07,-0.001559,0.85909,-0.404681,-0.442285,0.363725,-0.31549,-0.167014,-0.886918,0.742278,0.518048,-1.173401,0.372787,-0.690195,0.65389,-0.28535,-0.99668,-0.18495
9330185.08,2.832875,-0.103777,-1.116401,-0.908166,-1.032221,0.894876,-1.252078,-1.604171,-0.610453,1.079386,-1.149667,-0.109136,0.200856,-0.91695,-0.82748,-1.21485,0.89919
