ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_CC,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3,FAC_4
9330009,0.331503,-0.372058,0.916335,0.070459,0.039126,2.829,1.071085,0.360746,0.17796,-1.03762,0.896835,0.375729,0,1.434009,-0.25481,0.79358,1.57243,2.04011
9330010.01,0.353114,-0.129322,-0.007719,0.067056,0.042752,1.927863,0.826653,0.367155,0.583185,-1.107748,0.499631,1.478521,0,0.377151,0.21307,0.41645,1.13955,1.49415
9330010.02,-0.112872,-0.230282,0.629263,0.08237,0.045952,3.574206,0.391909,0.075214,0.752901,-1.070016,0.087838,-0.235708,0,0.224944,0.30693,-0.06966,1.50556,1.71607
9330011,-0.206622,1.356738,0.476507,0.058973,0.053418,0.414959,0.296412,0.229263,0.566607,-0.359934,-0.319262,0.886405,0,0.211377,0.93214,0.06148,0.3099,0.42018
9330012,0.023792,0.040764,0.076976,0.039618,0.044885,0.805103,0.004766,0.130139,0.193492,-0.259278,-0.58725,0.353539,0,1.187292,0.21811,-0.03545,0.0028,0.9572
9330013.01,-0.549051,0.006105,0.471098,0.054081,0.060244,0.320617,0.365964,0.644573,1.153135,-0.223803,-0.722469,1.666535,-0.334575,0.435925,1.37795,0.17164,-0.05272,0.657
9330013.03,-0.372449,-0.388482,0.376988,0.051529,0.056831,0.431734,0.516207,0.222309,0.62544,-0.90051,-0.634114,-1.18578,0,0.272619,0.47979,-0.75372,0.88664,0.09676
9330013.04,-0.595896,1.841501,0.571888,0.05557,0.058111,0.367045,0.261586,0.373855,1.347374,-0.812045,-1.044237,0.260162,0,0.291639,1.58115,-0.5571,0.50129,0.37515
9330014.01,-0.367783,-0.626537,-0.016363,0.050466,0.056405,0.279866,0.239606,0.672386,2.103378,0.045694,-1.021333,0.892954,0,0.125553,1.56782,-0.52766,-0.14327,0.6807
9330014.02,-0.904681,1.867473,0.577429,0.06897,0.065364,0.255591,0.487478,0.909001,2.222183,-0.425047,-0.19948,-0.267075,0,0.079097,2.31806,-0.52192,0.49696,0.19111
9330015.01,-0.267127,0.55936,-0.236749,0.048126,0.054271,0.593887,-0.383387,-0.146797,0.973209,0.348978,-0.863196,-0.519088,0,0.404804,0.97652,-0.77006,-0.33413,0.38052
9330015.02,-0.285668,0.437932,0.1507,0.051529,0.052991,0.484313,0.377975,0.340219,0.78431,-0.323942,-0.695647,-0.910228,0,0.715331,0.81234,-0.68364,0.47365,0.4207
9330016.01,-0.735262,-0.142406,0.927114,0.066843,0.056831,0.126259,0.295065,1.043931,1.364146,-0.374755,-0.07958,1.32674,0,-0.315975,1.31272,0.41967,0.19286,0.24429
9330016.04,-0.569189,0.285953,0.154728,0.053869,0.051712,-0.243596,0.287042,0.550732,0.482036,-0.459149,-0.753368,1.152956,0,-0.155104,0.76433,-0.05169,0.16574,0.01902
9330016.05,-0.910083,-0.875166,1.508481,0.05557,0.056831,-0.054952,0.46624,0.628664,0.61993,-1.296194,-0.111232,-0.669383,0,0.102059,0.33206,0.10072,0.98175,-0.22051
9330016.06,-1.115326,0.874823,0.694122,0.071522,0.042965,-0.971554,0.529457,0.468237,0.532361,-2.151745,-0.047039,-1.451334,0,-1.068409,0.04568,-0.5446,1.84177,-1.18518
9330017.01,-0.47679,1.319625,0.306329,0.055145,0.058538,0.432944,-0.042497,0.586987,1.480419,-0.183028,-0.929355,-0.435754,0,0.243596,1.67895,-0.76372,0.06085,0.33108
9330017.02,-0.537294,1.512015,0.165219,0.054719,0.056405,0.049568,0.140165,0.345348,1.457712,-0.743954,-0.434194,0.695116,0,0.383697,1.46664,-0.24918,0.25854,0.37424
9330018.01,-0.619318,1.294672,0.397661,0.0611,0.058325,0.266011,-0.098882,0.637176,1.878616,-0.039625,-0.849876,-0.19812,0,0.363728,1.90118,-0.59414,-0.03684,0.40149
9330018.02,-0.290027,-0.305624,0.250444,0.040256,0.048512,0.210264,-0.066429,0.158631,0.427324,0.131709,-0.69043,1.176747,0,1.469417,0.48125,0.36137,-0.44823,0.9118
9330019,-0.310502,-1.383857,0.199284,0.045999,0.049152,0.820243,-0.216265,0.19058,0.065791,0.042069,0.046914,-0.071941,0,1.476992,-0.024,0.38227,-0.24066,0.86186
9330020,0.815509,-0.712852,-0.682573,0.055145,0.042539,2.826115,0.349933,0.119382,0.256587,-0.308083,-0.263805,0.618458,0,1.263775,0.12282,-0.16584,0.48984,2.15562
9330021,7.587444,-1.495707,-0.899839,0.032387,0.028459,7.124263,-0.425727,-0.453266,0.041184,-0.002612,-0.83806,1.003019,0,3.24979,-0.53711,-0.75007,0.06227,6.68126
9330022,-0.71055,0.845008,1.6365,0.08322,0.049578,0.953894,1.432794,1.006137,0.033543,-1.970918,1.816567,1.129792,0,0.493916,0.20368,1.52965,1.95996,0.60116
9330023,2.516359,-1.130632,-0.645487,0.038767,0.032726,3.53506,-0.151093,-0.463002,-0.15172,0.349829,-0.554152,0.177064,0,2.362822,-0.56573,-0.25522,-0.02701,3.22697
9330024,2.988976,0.273399,-0.650232,0.037066,0.033153,3.659291,-0.058211,-0.7416,-0.294355,0.021144,-0.510061,0.720137,0,2.513394,-0.42556,-0.20882,0.13149,3.46899
9330025,1.710123,-0.708805,-0.446292,0.036215,0.034859,2.65561,-0.053775,-0.646344,-0.257238,-0.115527,-0.243201,-0.730492,0,2.504032,-0.72962,-0.27299,0.29062,2.46233
9330026,1.600625,-0.789615,-0.552075,0.046212,0.036992,3.246861,0.256847,-0.32271,0.131041,-0.239012,0.301336,-1.318716,0,1.775541,-0.51617,-0.51605,0.74356,2.3541
9330027.01,0.446618,0.129862,-0.947213,0.054719,0.042325,2.623057,1.072756,-0.038566,0.554897,-1.002451,0.135508,0.277834,0,0.892258,0.13967,-0.48088,1.32929,1.78317
9330027.02,0.617787,-0.159863,-0.562976,0.078754,0.037632,2.783024,1.948425,0.485294,0.820365,-2.37203,-0.248988,-1.123921,0,0.512053,0.00745,-1.10965,3.02734,1.73852
9330028,1.846481,-2.13111,-0.037984,0.041107,0.031873,4.121396,0.036854,-0.474759,0.092752,-0.191352,-0.693481,1.490369,0,2.630109,-0.69859,0.40488,0.26076,3.71968
9330029,0.486064,-1.141819,0.610943,0.043021,0.035712,1.143983,-0.646498,-0.06207,-0.418593,0.481048,-0.211058,0.362903,0,1.581582,-0.59811,0.68459,-0.54687,1.31856
9330030,0.302126,-0.229059,0.196673,0.035577,0.042539,0.736433,-0.539739,-0.044658,-0.09089,0.523652,-0.375848,0.904991,0,1.711165,0.03539,0.51704,-0.81438,1.2313
9330031.01,0.367296,-1.488737,0.80559,0.035152,0.036352,1.227628,-0.625704,-0.247121,-0.337548,0.75263,-0.117287,0.69858,0,3.073978,-0.6159,1.18408,-0.86152,1.97191
9330031.02,-0.231395,-0.52824,0.595403,0.045786,0.044672,0.303874,-0.302659,-0.030443,0.328068,0.262192,-0.568111,-0.279681,0,1.307002,0.09803,0.1213,-0.25211,0.64841
9330032,-0.460121,-0.754468,0.620892,0.045148,0.046592,0.02607,-0.311276,0.363357,0.429825,0.486455,-0.418941,0.454852,0,1.46993,0.3594,0.51162,-0.61199,0.69188
9330033.01,-0.314892,-0.336367,0.188813,0.040682,0.046379,0.262713,0.021141,-0.135643,0.251334,-0.489706,-0.603262,-0.496137,0,1.333227,0.0076,-0.19947,0.23894,0.54805
9330033.02,-0.538092,-0.530171,0.515089,0.047913,0.055978,0.271168,0.338489,0.572261,1.394857,-0.57145,-0.768477,0.505007,0,0.740813,1.06436,-0.16805,0.24598,0.65223
9330034.01,-0.747756,0.121779,0.354197,0.05557,0.061311,0.116836,-0.211403,0.655208,1.828379,-0.282098,-0.806783,-0.789693,0,0.418819,1.63222,-0.70749,-0.02916,0.21007
9330034.02,-0.412786,0.248164,0.648913,0.051316,0.053418,0.097146,-0.074774,0.646476,1.100939,0.118011,-0.651208,0.824176,0,1.33576,1.21479,0.27767,-0.38088,0.84584
9330035.01,-0.541285,0.173875,0.554899,0.054719,0.060458,0.251771,0.331196,0.782538,0.944209,-0.391075,-0.388403,-0.070328,0,0.716988,1.21437,-0.13742,0.21918,0.39136
9330035.02,-0.498278,0.600192,0.551201,0.052167,0.054058,0.025276,-0.369659,0.745569,0.864977,0.28113,0.065861,3.083913,0,0.270004,1.28957,1.1243,-0.95398,0.63691
9330036.01,-0.447781,-0.134862,-0.07401,0.054507,0.057685,0.247941,-0.10053,0.419817,1.373737,0.211753,-0.745221,-0.418701,0,0.658466,1.28778,-0.58372,-0.22211,0.43317
9330036.02,-0.307033,-0.792593,-0.267147,0.051954,0.052778,0.462564,-0.197932,0.171759,0.898541,0.049267,-0.888434,-0.489978,0,0.468792,0.68556,-0.65303,-0.10833,0.42158
9330037.01,-0.487227,0.328561,1.309423,0.042809,0.041472,0.138865,-0.309294,0.142061,0.029835,-0.028287,-0.137358,0.325097,0,2.329988,0.0447,0.97668,-0.27791,0.95706
