ID,Z_HAI,Z_DR,Z_LI,Z_GT,Z_DAV,Z_LP,Z_NL,Z_LA,Z_DMR,Z_DM,Z_1960C,FAC_1,FAC_2,FAC_3
59150177,0.795212,0,1.742341,1.187201,-0.023584,0,-0.547816,0.706821,3.309558,0,0,,,
59150178,-1.483518,-0.53234,-0.830093,-0.507979,-0.022589,-0.395345,-0.699574,-0.661421,0,0,-1.124559,,,
59150179,-1.483515,0,-0.369488,0.3242,-0.022439,-0.602936,-0.524899,-0.989305,0,0,-0.52903,,,
59150180,-1.483518,0,-1.003906,0.293379,-0.021743,-0.060007,0,-0.49928,0,0,1.137553,,,
59150181,-1.483518,-0.076985,0.204095,-0.785372,-0.022041,0.304312,0,0.04119,0,0,1.864186,,,
59150182,-1.483518,-0.457924,-0.751877,-0.585033,-0.022041,-0.040135,-0.704644,-0.427217,-0.325701,0,0.477209,-0.6805,-0.79076,0.23249
59150183,0.868327,0.100556,-0.021862,-0.014836,-0.022539,-0.012942,-0.529471,1.002657,0,0,-0.27747,,,
59150184,-0.069773,2.523022,0.647318,0.031396,-0.024927,1.21075,-0.513226,1.446411,0,0,-0.52903,,,
59150185,1.064022,0.093914,-0.847474,-0.615854,-0.023037,0.26517,-0.703022,0.61981,0,0,-1.024858,,,
59150186,-0.261537,2.322394,1.907463,0.724879,-0.025176,1.057788,-0.40721,2.115563,-0.711942,0,-0.754566,0.236,2.03348,-0.33222
59150187,0.330564,1.346823,0.395289,0.200914,-0.02428,-0.147249,-0.646599,1.522368,0.490137,0,-1.138069,-0.45085,1.10614,-0.02282
59150188,0.406073,0.33761,-0.378179,0.262557,-0.024479,-0.954243,-0.40721,1.446411,0,0,0,,,
59150189,0.596554,1.931494,0.612556,-0.73914,-0.023136,-0.187755,-0.353294,1.044919,-0.635446,0,-1.009622,-0.68118,1.1253,-0.52418
59150190,0.079021,1.475469,0.603865,-0.122711,-0.02428,-0.087105,-0.494771,2.008499,0,0,-1.039236,,,
59150191,0.082326,1.710497,0.212786,-0.877837,-0.025077,0.155843,-0.594432,2.383224,0.083279,0,-1.025781,-0.86088,1.58854,0.08448
59150192,0.588803,-0.641843,0.091116,-1.139819,-0.024878,0.62494,-0.655457,1.914817,-1.312982,0,-1.314602,-0.77143,0.39431,-1.45089
59150193,-0.194576,0.096427,0.968873,0.478307,-0.024927,0.476535,-0.673825,2.186,-0.562495,0,0,,,
59150194,-0.126761,1.251696,0.734225,0.077628,-0.024778,-0.126247,-0.674832,1.446411,0.420015,0,-1.251821,-0.43041,1.16697,-0.04828
