ID,Z_HAI,Z_LU,Z_DR,Z_LI,Z_GT,Z_DAV,Z_I,Z_LP,Z_NL,Z_LA,Z_DMR,Z_1960C,FAC_1,FAC_2,FAC_3
59153076,-2.227249,-1.270481,-0.156972,-1.484807,-1.721158,-1.964099,-0.105834,-0.255705,0.433385,-0.99695,-1.024909,-0.366358,-0.74999,-0.67588,-1.82705
59153077,-0.187706,-0.061169,-0.459853,-0.202347,1.042355,-0.184871,0.17991,0.181451,2.130469,-0.384229,-1.024909,0.247837,1.2227,-1.14795,-0.04594
59153078,-0.090507,-0.259842,-0.317433,-0.232346,0.255394,0.105781,-0.532474,-0.14937,0.830191,-0.179989,-0.330822,0.738421,0.24417,-0.34753,0.37984
59153079,-0.694869,1.844066,-0.224859,1.78509,1.682904,0.017537,0.361601,-0.790007,1.542147,-0.384229,0.313686,-0.215706,2.00031,-0.59158,0.10651
59153080,-0.651304,-1.270481,-0.428521,0.945117,1.481588,0.128335,0.275996,1.930076,2.116462,-0.319732,0.016221,0.838855,1.50136,-0.25391,0.28909
59153081,0.365811,-1.270481,0.114577,-0.734831,0.365202,0.354087,-0.941087,-1.567173,0.361238,-0.99695,0.276503,0.210049,-0.30691,-0.6978,0.3721
59153082,-0.161637,-1.270481,-0.27335,0.390134,-0.31195,0.459298,-0.467777,-0.33285,-0.271848,-0.217124,-1.024909,0.469074,-0.34371,-0.26579,0.18699
59153083,0.814701,3.017077,-0.872874,-0.614834,0.054078,0.791565,-0.941087,0.340417,0.361238,-0.99695,1.012084,0.469074,0.56226,-0.52153,1.15307
59153084,-0.475811,-0.521859,0.968018,0.570128,0.20049,-0.027695,1.607505,-0.613378,0.848228,-0.077869,-1.024909,0.064076,0.92841,-0.26171,-0.05
59153085,-0.569223,-1.270481,0.070779,-0.014853,0.639724,0.102204,-0.384252,0.764326,0.288391,-0.217124,-1.024909,0.688204,0.14482,-0.14181,-0.04334
59153086,-0.729011,-0.147549,0.269748,1.252607,1.11556,0.18866,1.538156,-0.692861,1.114912,-0.52039,-0.132512,0.193206,1.54352,-0.451,0.17992
59153087,-0.571601,0.058058,-0.485357,0.52513,1.042355,0.313675,0.158859,0.134191,1.923314,-0.353593,-0.298539,0.1872,1.35031,-0.79915,0.18977
59153088,-0.019904,2.098315,0.471879,0.105143,0.456709,0.678043,-0.182346,-0.613378,0.904797,-0.217124,-0.202964,0.339326,1.02436,-0.29483,0.76812
59153089,-0.993777,0.275852,1.314446,1.657594,3.128715,0.559741,0.833826,2.527167,1.330178,0.769128,0.42783,-0.443435,2.13594,0.79421,-0.18944
59153090,-0.386244,0.280938,0.490124,-0.217347,0.658025,-0.216273,2.10162,0.181451,0.554605,-0.607037,-0.360358,0.088803,1.09786,-0.41237,-0.10955
59153091,-0.072629,0.413917,-0.021197,-1.484807,1.536493,0.480458,-0.16658,-1.567173,1.836308,-0.58847,-1.024909,-0.215706,0.93674,-1.62621,0.05056
59153092,-0.730801,0.455,0.79345,0.457632,2.524769,0.163566,0.811913,0.046942,1.753799,-0.99695,-1.024909,0.914181,2.17965,-0.80427,0.37907
59153093,-0.561532,0.226762,-0.312143,0.570128,0.548217,1.735279,1.005591,0.472889,1.015503,0.075311,-1.024909,1.29081,1.27121,-0.30723,1.27832
59153094,-0.622388,1.292733,0.066087,0.150142,0.676326,-0.08105,0.043023,-1.567173,1.431472,-0.99695,-1.024909,0.704943,1.30921,-1.10505,0.3595
59153095,-0.680807,0.337354,0.855166,1.080112,2.524769,-0.039883,4.222295,-0.068352,4.44699,-0.99695,-1.024909,0.227387,4.13152,-1.68537,0.32561
59153096,-0.125617,-0.555888,-0.479436,-0.494838,-0.18384,0.282607,-0.542976,0.463488,0.247287,-0.99695,-0.017364,0.867103,-0.04396,-0.38189,0.48025
59153097,-0.283761,1.041438,-0.835844,0.390134,0.786135,0.388153,-0.231122,-0.068352,2.748208,-0.337097,0.990181,-0.240005,1.55182,-0.87323,0.41631
59153098,-0.819076,-1.270481,1.472323,0.547629,-0.568169,-0.29012,0.094279,1.541493,0.705625,1.862415,0.276503,-0.466792,-0.19066,1.54215,-0.54286
59153099,0.022134,-0.533557,-0.428521,0.060145,0.767833,0.055112,-0.67568,0.231412,-0.206326,-0.99695,-0.132512,0.286466,0.06776,-0.48592,0.02425
59153102,0.026773,-0.544894,-0.252381,-0.134849,-0.257045,-0.366743,1.105659,-0.024269,-0.228122,-0.043829,0.66341,-0.236064,-0.12124,0.06983,-0.24931
59153103,0.438263,1.148142,-0.763964,-0.922325,-1.135513,-0.048096,-0.415187,0.400029,-0.20062,1.862415,-1.024909,-0.968964,-0.89333,0.05501,-0.60629
59153104,-0.108121,0.641538,-0.929842,0.772622,0.07238,-0.014462,0.242188,0.531176,-0.031439,-0.99695,-1.024909,-0.447478,0.57285,-0.98295,-0.36846
59153105,0.089185,-0.061169,-0.75438,0.952616,0.090681,-0.403597,0.317079,1.370516,0.008039,-0.99695,0.224447,-0.6074,0.44804,-0.44641,-0.47582
59153106,-0.524543,1.386598,0.651361,1.335104,0.529915,-0.760784,1.834716,0.701313,0.879186,-0.99695,-1.024909,-0.758753,1.78304,-0.68478,-0.69689
59153107,-1.096202,-0.091402,1.531355,2.085081,1.829315,-1.27546,2.923812,-0.738878,1.758442,1.021425,-0.119579,-0.710704,2.1638,0.3377,-0.93377
59153108,-0.557921,-0.029345,-0.106451,0.480131,-0.257045,0.729482,0.041941,-0.780292,0.68229,-0.139141,-0.298539,0.397411,0.43399,-0.27355,0.51687
59153109,-0.320486,0.631259,-0.505772,0.322636,0.950848,-0.209443,-0.053631,0.055262,0.440793,-0.188869,-0.621022,-0.735194,0.62011,-0.72108,-0.63935
59153110,0.311208,0.543486,-0.119517,0.427633,-0.714581,0.358532,0.493186,-0.760116,1.169943,-0.217124,1.129153,0.433654,0.58708,-0.04594,0.93476
59153111,-0.524278,1.087676,-0.872874,0.84012,0.218791,0.214385,1.188808,1.294212,0.644955,-0.192754,0.394813,-0.558096,1.07785,-0.29203,-0.17763
59153113,-0.486585,0.337354,-1.009074,-0.247346,0.090681,-0.676098,0.344446,-0.574711,0.780221,-0.113911,1.129153,-0.968964,0.22487,-0.52824,-0.73726
